nationality
nationality_id;nationality_name
1;"Afghan"
2;"Albanais"
3;"Algerien"
4;"Allemand"
5;"Americain"
6;"Andorran"
7;"Angolais"
8;"Antigua"
9;"Antillais"
10;"Apatride"
11;"Arabe"
12;"Argentin"
13;"Armenien"
14;"Australien"
15;"Autre Nationalite"
16;"Autrichien"
17;"Azerbaïdjanais"
18;"Bahaméen"
19;"Bahrein"
20;"Barbade"
21;"Belaruss"
22;"Belge"
23;"Belize"
24;"Bengladeshi"
25;"Beninois"
26;"Bhoutanais"
27;"Birman"
28;"Bolivien"
29;"Bosniaque"
30;"Botswanais"
31;"Bresilien"
32;"Britannique"
33;"Brunei Darussalam"
34;"Bulgare"
35;"Burkinabé"
36;"Burundais"
37;"Cambodgien"
38;"Camerounais"
39;"Canadien"
40;"Capverdien"
41;"Centrafricai"
42;"Chilien"
43;"Chinois"
44;"Chypriote"
45;"Colombien"
46;"Comorien"
47;"Congolais"
48;"Costa Ricai"
49;"Croate"
50;"Cubain"
51;"Danois"
52;"Djiboutien"
53;"Dominicai"
54;"Dominicain"
55;"Egyptien"
56;"Equato-guineen"
57;"Equatorien"
58;"Erytreen"
59;"Espagnole"
60;"Estonien"
61;"Ethiopien"
62;"Etranger sans autre indication"
63;"Fidjien"
64;"Finlandais"
65;"Français"
66;"Gabonais"
67;"Gambien"
68;"Georgien"
69;"Ghanéen"
70;"Gibraltar"
71;"Grecque"
72;"Grenade"
73;"Grenadin"
74;"Groenlandais"
75;"Guatémaltèque"
76;"Guineen"
77;"Guyanais"
78;"Haïtien"
79;"Hondurien"
80;"Hongrois"
81;"Indien"
82;"Indonésien"
83;"Irakien"
84;"Iranien"
85;"Irlandais"
86;"Islandais"
87;"Israëlien"
88;"Italien"
89;"Ivoirien"
90;"Jamaicai"
91;"Japonais"
92;"Jordanien"
93;"Kazaque"
94;"Kenya"
95;"Kirghis"
96;"Kiribati"
97;"Kosovar"
98;"Koweitien"
99;"Laotien"
100;"Lesotho"
101;"Letto"
102;"Libanais"
103;"Libérien"
104;"Libyen"
105;"Liechtensteinien"
106;"Lithuanien"
107;"Luxembourgeois"
108;"Malaisien"
109;"Malawien"
110;"Maldivais"
111;"Malgache"
112;"Malien"
113;"Maltais"
114;"Marocain"
115;"Mauricien"
116;"Mauritanien"
117;"Mexicain"
118;"Moldave"
119;"Monegasque"
120;"Mongole"
121;"Montenegro"
122;"Mozambicai"
123;"Namibien"
124;"Nauru"
125;"Neerlandais"
126;"Neozelandais"
127;"Nepalais"
128;"Nicaraguayen"
129;"Nigeria"
130;"Nigérien"
131;"Nord-Coréen"
132;"Norvegien"
133;"Omanais"
134;"Ougandais"
135;"Ouzbèque"
136;"Pakistanais"
137;"Palestinien"
138;"Panaméen"
139;"Papoue"
140;"Paraguayen"
141;"Peruvien"
142;"Philippin"
143;"Polonais"
144;"Portugais"
145;"Qatari"
146;"Roumain"
147;"Russe"
148;"Rwandais"
149;"Sainte Helenite"
150;"Sainte Lucien"
151;"Salomon"
152;"Salvadorien"
153;"Samoen"
154;"San-Marinais"
155;"Sao Toméen"
156;"Senegalais"
157;"Séoudien"
158;"Serbe"
159;"Seychellois"
160;"Sierra-leonais"
161;"Singapourien"
162;"Slovaque"
163;"Slovene"
164;"Somalien"
165;"Soudanais"
166;"Sri-Lankais"
167;"Sud-Africain"
168;"Sud-Coréen"
169;"Suedois"
170;"Suisse"
171;"Surinamien"
172;"Swaeiland"
173;"Syrien"
174;"Tadjique"
175;"Taiwanais"
176;"Tanzanien"
177;"Tchadien"
178;"Tcheque"
179;"Thaïlandais"
180;"Togolais"
181;"Tongéen"
182;"Trinideen"
183;"Tunisien"
184;"Turkme"
185;"Turque"
186;"Tuvalu"
187;"Ukrainien"
188;"Uruguayen"
189;"Vanuatu"
190;"Vatican"
191;"Vénézuélien"
192;"Vietnamien"
193;"Yemenite"
194;"Yougoslave"
195;"Zambien"
196;"Zimbabwen"
