"status"
"id_status"";""name_status"
"1";"Professeurs et assimilés"
"2";"Maîtres de conférences et assimilés"
"3";"Directeurs de recherche et assimilés"
"4";"Chargés de recherche et assimilés"
"5";"Conservateurs, cadres scientifiques EPIC, fondations, industries..."
"6";"Professeurs du secondaire détachés dans le supérieur"
"7";"ITA-BIATSS, autres personnels cadre et non cadre EPIC..."
"8";"Enseignants-chercheurs non titulaires, émérites et autres"
"9";"Chercheurs non titulaires, émérites et autres (excepté doctorants)"
"10";"Doctorants"
"11";"Autres personnels non titulaires"
"12";"Enseignants-chercheurs non titulaires, émérites et autres"
