Belongs_Team
"Researcher_ID";"Team_ID"
"1";"4"
"2";"4"
"3";"1"
"4";"1"
"5";"1"
"6";"5"
"7";"5"
"8";"3"
"9";"3"
"11";"3"
"12";"2"
"13";"6"
"14";"2"
"15";"2"
"16";"7"
"17";"7"
"19";"3"
"21";"2"
"22";"6"
"23";"1"
"24";"4"
"25";"4"
"26";"2"
"28";"6"
"29";"1"
"30";"1"
"31";"1"
"32";"1"
"33";"1"
"34";"1"
"35";"1"
"36";"5"
"37";"5"
"38";"4"
"39";"4"
"40";"4"
"41";"3"
"42";"3"
"43";"3"
"44";"2"
"45";"2"
"46";"7"
"47";"7"
"48";"7"
"49";"7"
"50";"7"
"51";"7"
"52";"7"
"53";"4"
"54";"3"
"55";"7"
"56";"4"
"57";"4"
"58";"4"
"59";"4"
"60";"3"
"61";"3"
"62";"4"
"63";"4"
"64";"4"
"65";"2"
