type_activity
"id_type";"name_type"
"1";"Publication"
"2";"Book"
"3";"Book Chapter"
"4";"Patent Licence Invention Disclosure"
"5";"Editorial Activity"
"6";"Platform"
"7";"Tool Product Decision Support Tool"
"8";"Tool Product Biocollection"
"9";"Tool Product Software"
"10";"Tool Product Database"
"11";"Tool Product Cohort"
"12";"Educational Output"
"13";"National International Collaboration"
"14";"Network"
"15";"Invited Seminar"
"16";"Scientific Expertise"
"17";"Research Contract Funded Public Charitable Inst"
"18";"Training Thesis Publication"
"19";"Involvement Training M1 M2 Trainee Hosting"
"20";"Involvement Training Pedagogical Responsibility"
"21";"Post Doc"
"22";"Public Outreach"
"23";"Reviewing Journal Articles"
"24";"Project Evaluation Thesis"
"25";"Project Evaluation Grant"
"26";"Lab Evaluation"
"27";"Responsibility Institutional Comitee Jury"
"28";"Sr Responsibility Learned Scientific Society"
"29";"Sr Award"
"30";"Meeting Congress Org"
"31";"Invited Oral Communication"
"32";"Oral Communication Poster"
"33";"Outgoing Mobility"
"34";"Incoming Mobility"
"35";"Sei Cifre Fellowship"
"36";"Sei Labcom Creation"
"37";"Sei Network Unit Creation"
"38";"Sei Company Creation"
"39";"Sei Lead Consortium Industry"
"40";"Sei Industrial R D Contract"
"41";"Sei Clinical Trial"
