book
id_activity;publication_date;title;editor;authors;language
1;01/01/18;Charreau B.L. (2018) SH2B Adapter Protein 3 (SH2B3). In: Choi S. (eds) Encyclopedia of Signaling Molecules. pages 492-4933, Springer, Cham;Springer;B. Charreau;English
2;01/01/18;"Danger R and Brouard S; Gene expression technology applied to kidney transplantation, in Kidney Transplantation, Bioengineering and Regeneration. Giuseppe Orlando, Giuseppe Remuzzi, David F Williams, Eds. Associated Press, NY, USA.";Eds. Associated Press;S. Brouard;English
3;01/01/18;"Markers of acute and chronic rejection in renal transplantation. Chapter for Bentham E-Book entitled Clinical chemistry and Nephrology: the essential link. Degauque N. Brouard S. (editor: Pierre Delanaye; ; eISBN: 978-1-60805-333-9).";Pierre Delanaye;S. Brouard;English
4;01/01/19;Bressollette-Bodin C, Imbert-Marcille B.M. Infections virales et immunodépression. Traité de Virologie Médicale. Société Française de Microbiologie. 2e édition, 2019.;;C. Bressollette - Bodin;French
5;01/01/16;"Carretero-Iglesia L, Hill M, Cuturi MC. Generation and Characterization of Mouse Regulatory Macrophages. in Methods Mol Biol. 2016;1371:89-100.";;MC Cuturi;English
6;01/01/16;"Martin JC, Bériou G, Josien R. Dextran Sulfate Sodium (DSS)-Induced Acute Colitis in the Rat. Methods Mol Biol. 2016;1371:197-203";;R. Josien;English
7;01/01/16;"Suppression and regulation of immunes responses. Volume II. Editors : Cuturi MC and Anegon I . Series : Methods in Molecular Biology ; Editorial : Human Press, USA. 2016";Human Press;MC Cuturi;English
8;01/01/18;Immuno-Guided Laser-Capture Microdissection of Glial Cells for mRNA Analysis. In: Murray G. (eds) Laser Capture Microdissection. Methods in Molecular Biology, vol 1723. Humana Press, New York, NY.;Humana Press;A. Nicot;English
9;01/01/19;"""Focus sur les lymphocytes CD8 dans la physiopathologie de la SEP"" in  La Sclérose en plaques, Historique, épidémiologie et pathogénie.";Elsevier Masson;D. Laplaud;French
10;01/01/19;"Delphine Kervella, Simon Ville, Gilles Blancho. ""Transplantation rénale : aspects immunologiques"", in Encyclopédie Médicale Continue Néphrologie, 10/04/2019, Elsevier Masson";Elsevier Masson;D. Kervella, S. Ville, G. Blancho;French
11;01/01/19;Diego Cantarovich, Delphine Kervella, Julien Branchereau, Georges Karam. Failure of the pancreas allograft in Transplantation, Bioengineering, and Regeneration of the Endocrine Pancreas 1st Edition.1st November 2019, Elsevier;Giuseppe Orlando;D. Kervella, J. Branchereau ;English
12;01/01/19;"""Prélèvement des reins sur patient décédé après arrêt cardiaque"" in Encyclopédie Médico-chirurgicale";;J. Branchereau;French
13;01/01/19;"""Prélèvement des reins sur patient décédé après arrêt cardiaque"", ""Complications urologiques de la transplantation "" in Encyclopédie Médico-chirurgicale";;J. Branchereau;French
14;01/01/19;"""Rein et machine de perfusion"" in Encyclopédie Médico-chirurgicale";;T. Prudhomme, J. Branchereau ;French
15;01/01/15;Adaptation et traduction des guidelines de l'European Association of Urology sur la transplantation rénale ;;J. Branchereau;French
16;01/01/17;European Textbook on Kidney Transplantation - European Association of Urology 2017;;J. Branchereau;English
17;01/01/19;Les mécanismes de l'alloréactivité , des rejets de greffe et de la GvH in Immunologie fondamentale et immunopathologie- DFGSM2-3 Médecine. Collège des enseignants d'immunologie,;;G. Blancho;French
18;01/01/19;Les cibles et mécanismes d'action des immunosuppresseurs in Immunologie fondamentale et immunopathologie- DFGSM2-3 Médecine. Collège des enseignants d'immunologie, Elsevier Masson;Elsevier Masson;G. Blancho;French
19;01/01/15;"Suppression and regulation of immunes responses. Volume II. Editors : Cuturi MC and Anegon I . Series : Methods in Molecular Biology ; Editorial : Human Press, USA. 2016";;I. Anegon;English
20;01/01/19;HIV pharmacogenetics and pharmacogenomics: from bench to bedside. In: Genomic and Personalized Medicine, 3rd edition, Elsevier, Ginsburg GS, Willard HF, Tsalik EL, Woods CW (Eds.), 2019;Human Press;S. Limou;English
21;01/01/16;Evaluating embryo development stages using time-lapse microscopy. In Time-lapse microscopy in In-Vitro Fertilization;Marcos Meseguer, Cambridge University Press;T. Fréour;English
22;01/01/17;ICSI, In Standard Operational Procedures in Reproductive Medicine Laboratory and Clinical Practice. Taylor & Francis group ;Informa Press, Rizk and Montag (eds);T. Fréour;English
23;01/01/20; Time-lapse microscopy for embryo culture, In Manual of Embryo Culture in Human Assisted Reproduction;Cambridge University Press, Lundin and Ahlstrom (eds);T. Fréour;English
24;01/01/19;Giraud M, Peterson P. The autoimmune regulator (AIRE) gene, the master activator of self-antigen expression in the thymus. In: Passos GA, editor. Chapter 7 Thymus Transcriptome and Cell Biology. Cham: Springer Nature (2019). pp. 318.;Springer Nature;M. Giraud;English
25;01/01/20;Insuffisance ante-hypophysaire et surrénalienne  dysthyroidies in Traité d'anesthésie et de réanimation  4ème édition;Edition Lavoisier;A. Roquilly;French
26;01/01/19;Neuroendocrine Dysfunction in the critically ill patients in Metabolic disorders and critically ill patients;Edition Springer;A. Roquilly, K. Asehnoune;English
27;01/01/20;Linking traumatic brain injury and nosocomial infections in Neuroscience Of Traumatic Brian Injury;Edition Science Direct;A. Roquilly, K. Asehnoune, M. Bouras;English
