id_activity;year;id_type;name_congress;date;location
1;2015;;F. Haspot;;"20th Nantes Actualités Transplantation congress ""Infectious Diseases in Transplantation"", Nantes, France, June 11-12 2015"
2;2015;;J. Branchereau;;109 th congres of the French Urological Association (AFU) Paris, November 18-21 2015
3;2015;;J. Branchereau;;109 th congres of the French Urological Association (AFU) Paris, November 18-21 2015
4;2016;;F. Haspot;;2nd Labex IGO meeting, Nantes, France April 21-22 2016
5;2016;;F. Haspot;;2nd Labex IGO meeting, Nantes, France April 21-22 2016
6;2016;;J. Branchereau;;110 th congres of the French Urological Association (AFU) Paris, November 16-19 2016
7;2017;;J. Branchereau;;111 th congres of the French Urological Association (AFU) Paris, November 15-18 2016
8;2017;;J. Branchereau;;Congress of French Urologist Referents in Transplantation (CRUT), Nantes
9;2016;;J. Branchereau;;110 th congres of the French Urological Association (AFU) Paris, November 16-19 2016
10;2017;;J. Branchereau;;28e Congrés Ouest-Transplant, Nantes, France November 10 2017
11;2017;;S. Ville;;28e Congrès Ouest-Transplant, Nantes, France November 10 2017
12;2017;;J. Branchereau;;17e Congrès de la Société Francophone de Transplantation, La Rochelle December 12-15 2017
13;2017;;J. Branchereau;;111 th congres of the French Urological Association (AFU) Paris, November 15-18 2016
14;2018;;J. Branchereau;;18e Congrès de la Société Francophone de Transplantation, Toulouse December 4-7 2018
15;2018;;G. Blancho;;Réunions PAIR Astellas, Paris 2018
16;2019;;G. Blancho;;Rencontres Novartis- Sandoz en transplantation
17;2019;;G. Blancho;;Réunions PAIR Astellas, Paris 2019
18;2018;;J. Branchereau;;International Meeting on Iscemia Reperfusion Injuries in Transplantation (IMIRT), Poitiers, France April 19-20 2018
19;2019;;G. Blancho;;52nd annual meeting of the French Society for Immunology, Nantes, France, November 12-14 2019
20;2019;;J. Branchereau;;34th Annual European Urology Association (EAU) Congress, Barcelona, Spain, March 15-19 2019
21;2019;;J. Branchereau;;World Congress of the International Pancreas & Islet Transplant Association, Lyon, France July 2-5 2019
22;2019;;S. Bruneau;;Member of the organization committee for the Société Française d'Immunologie 2019 congress (12-14 nov 2019)
23;2018;;G. Blancho;;Atelier francophone de transplantation
24;2018;;S Limou, PA Gourraud, N Vince;;"23rd Nantes Actualités Transplantation congress ""Genomics and Immunogenetics of Kidney and Inflammatory Diseases-Lessons for Transplantation"", Nantes, 31 may 1st june 2018"
25;2019;;S Limou, PA Gourraud, N Vince;;JOBIM (Journées Ouvertes Biologie, Informatique et Mathématiques) - Bioinformatics
26;2019;;S Limou;;Laennec workshop 2019 - Research for young clinicians
27;2019;;S Limou;;JOBIM (Journées Ouvertes Biologie, Informatique et Mathématiques) - Genomics session
28;2019;;S Limou;;LARC-Neurosciences annual congress - Opening plenary session
29;2018;;R. Josien;;"23rd Nantes Actualités Transplantation congress ""Genomics and Immunogenetics of Kidney and Inflammatory Diseases-Lessons for Transplantation"", Nantes, 31 may 1st june 2018"
30;2019;;R. Josien;;52nd annual meeting of the French Society for Immunology, Nantes, France, November 12-14 2019
31;2019;;R. Josien;;17th International Congress of Immunology of the International-Union-of-Immunological-Societies (IUIS). Session Mucosal Immunology. October 19-23, 2019. Beijing, China.
32;2019;;R. Josien;;52nd annual meeting of the French Society for Immunology, Nantes, France, November 12-14 2019
33;2019;;E. Chiffoleau;;52nd annual meeting of the French Society for Immunology, Nantes, France, November 12-14 2019
34;2017;;E. Chiffoleau;;"22nd Nantes Actualités Transplantation congress ""Immunotherapies in transplantation & cancer"", Nantes, June 1st-2nd 2017"
35;2016;;E. Chiffoleau;;2nd Labex IGO meeting, Nantes, France April 21-22 2016
36;2019;;E. Chiffoleau;;52nd annual meeting of the French Society for Immunology, Nantes, France, November 12-14 2019
37;2019;;C. Louvet;;52nd annual meeting of the French Society for Immunology, Nantes, France, November 12-14 2019
38;2019;;C. Louvet;;52nd annual meeting of the French Society for Immunology, Nantes, France, November 12-14 2019
39;2017;;C. Louvet;;"22nd Nantes Actualités Transplantation congress ""Immunotherapies in transplantation & cancer"", Nantes, June 1st-2nd 2017"
40;2017;;C. Louvet;;"22nd Nantes Actualités Transplantation congress ""Immunotherapies in transplantation & cancer"", Nantes, June 1st-2nd 2017"
41;2018;;J. Poschmann;;"23rd Nantes Actualités Transplantation congress ""Genomics and Immunogenetics of Kidney and Inflammatory Diseases-Lessons for Transplantation"", Nantes, 31 may 1st june 2018"
42;2018;;J. Poschmann;;"23rd Nantes Actualités Transplantation congress ""Genomics and Immunogenetics of Kidney and Inflammatory Diseases-Lessons for Transplantation"", Nantes, 31 may 1st june 2018"
43;2019;;J. Poschmann;;JOBIM (Journées Ouvertes Biologie, Informatique et Mathématiques)
44;2019;;J. Poschmann;;JOBIM (Journées Ouvertes Biologie, Informatique et Mathématiques)
