id_activity;description;id_type
1;Organization and animation of an Escape Game on Genetics and Kidney transplantation. The Escape Game has been proposed at the National Science Fair (2019), at the Utopiales event (2019), at the 'Portes Ouvertes' for the Bachelor students of the Nantes University (2019 and 2020), and at the 'Nuit blanche des chercheurs' (2020). An article in the national Ouest France newspaper has been written on this educational activity (2019).;2
2;Visite des lycéens sélectionnés dans le cadre des 350 ans de l'Académie des Sciences;2
3;Accueil Personnel de la DR Grand Ouest;2
4;Classe de Terminale S (spé. SVT) - Lycée Ste Marie de Challand;2
5;TPE Lycée St Stanislas;2
6;Journée Chercheurs Accueillent les Malades;2
7;TPE Lycée Clémenceau;2
8;"Membre du Comité d'Organisation de ""La Nuit Blanche des Chercheurs""";2
9;Journée Chercheurs Accueillent les Malades;2
10;"Membre du Comité d'Organisation de ""La Nuit Blanche des Chercheurs""";2
11;Participation à la vidéo : L’association ALBI vue par ses adhérents;2
12;Journée Portes Ouvertes - Licence (Université de Nantes);2
13;Emission de radio Le Labo des savoirs (Prun);2
14;Collège Libertaire Rutigliano - Fondation Centaure;1
15;Déclics (Lycée Notre Dame);2
16;Emission de radio Le Labo des savoirs (Prun);2
17;10 000 cœur pour l'hôpital;2
18;Article dans Ouest France;2
19;Participation to « Inserm Cérébral » application;2
20;Participation to « Inserm Cérébral » application;2
21;ARSEP day, meeting with MS patients and their families;2
22;ARSEP day, meeting with MS patients and their families;2
23;ARSEP day, meeting with MS patients and their families;2
24;Brain week coordination (Nantes);2
25;Debates on microbiota and neurological diseases (Café des sciences and Radio Prune broadcast);2
26;Brain week coordination (Nantes);2
27;Debates on microbiota and neurological diseases (Café des sciences and Radio Prune broadcast);2
28;Jury Biorender ePoster Contest 2020;2
29;"Participation to 5 operations ""Passeport Recherche""";2
30;"Participation to 3 operations ""Passeport Recherche""";2
31;Classe 3ème (Collège St Blaise - Vertou);2
32;Semaine du Cerveau questions & réponses sur Alzheimer;2
33;Article dans Science et Vie sur l'épigénétique de la maladie d'Alzheimer;2
34;"Participation in the ""Nuit blanche des Chercheurs"" - Science dating event and 5-minute talk to the general public";2
35;"Participation in the ""Nuit blanche des Chercheurs"" - Bioprinting demo";2
36;"Participation in the ""Nuit blanche des Chercheurs"" - Science dating";2
37;O'Tablo #7 video explaining the main results Gergen et al, 2018 (Halary F. is the co-last author of this publication);2
38;Porte-ouvertes de la Fondation Progreffe;2
39;"Meeting with high school students in the topic: ""xenotransplantation""";2
40;Hosting one high school student for one week discovery course of laboratory/ research works;2
41;Journée Laënnec : La Recherche, pourquoi pas moi ? Speed dating organized to young hospital doctors: presentation of research activities of the Laboratoire des Grands Animaux (LGA);2
42;"interview/Article dans la lettre progreffe ""la préservation d'organe avant transplantation""";2
43;Intervention dans un lycée avec la fondation Progreffe : présentation de la fondation et de son rôle pour financer la recherche en transplantation;2
44;Intervention dans un lycée (Déclics);2
45;Captain at Declic project http://www.cerclefser.org/fr/declics/ Lycée Nelson Mandela;2
46;Declic project http://www.cerclefser.org/fr/declics/;2
47;Collège St Blaise Vertou : Presentation of our research at the high school followed by a lab visit;2
48;"Participation to 2 “Opération Passeport Recherche en Pays de la Loire""operations ""Passeport Recherche"" which encourages high school students to launch an investigation about a scientific question in association with research labs in the Pays de la Loire region, through meetings with researchers and visits of laboratories. Theme ""The cell : A central element of life and a key tool in biomedical research"".";2
49;O’Tableau 2018 https://sfrsante.univ-nantes.fr/evenements-scientifiques/o-tablo/o-tablo-7-2585842.kjsp?RH=1559729553135;2
50;"Participation in the ""Nuit blanche des Chercheurs""";2
51;"Participation to the ""Nuit blanche des chercheurs"" - Science dating";2
52;"Participation to the creation of a video about the immune system, carried out within the CRTI by the ""Balade Mentale"" youtubers, broadcasted during the ""Nuit blanche des chercheurs"" 2017 and available on their youtube channel.";2
53;"Organization to 2 ""Opération Passeport Recherche en Pays de la Loire"", which encourages high school students to launch an investigation about a scientific question in association with research labs in the Pays de la Loire region, through meetings with researchers and visits of laboratories. Theme ""The cell : A central element of life and a key tool in biomedical research"".Organization of a ""Opération Passeport Recherche en Pays de la Loire"", which encourages high school students to launch an investigation about a scientific question in association with research labs in the Pays de la Loire region, through meetings with researchers and visits of laboratories. Theme ""The cell : A central element of life and a key tool in biomedical research"".";2
54;"Science and society debates about Organ transplantation , organized by the charitable Foundation ""Progreffe"".";2
55;"Science and society debates about Research in Organ transplantation , organized by the charitable Foundation ""Progreffe"".";2
56;Conférence ‘Génomique et numérique, un nouveau paradigme’. Afterwork ExplorNova Studio, Nantes Digital Week;2
57;Entretiens pour le journal Science et Santé de l’Inserm, « Un anticorps antirejet », 2017, N°36.;2
58;Entretiens pour le journal Science et Santé de l’Inserm, « Un anticorps antirejet », 2017, N°36.;2
59;Magazine Fémi-9 : Entretien Sclérose en plaque et thérapie cellulaire;1
60;Science et santé : c’est fondamental : « Une vie presque ordinaire pour les personnes greffées?;2
61;Ouest France;2
62;2 radio interviews about the bioethics laws.;1
63;~10 articles in local and national newspaper about stem cells and bioethics;2
64;~20 articles in local and national newspaper about IVF and bioethics;2
65;"Participation in the ""Nuit blanche des Chercheurs"" - Science dating";2
66;"Participation to the operation ""Passeport Recherche""";2
67;"""les Portes Ouvertes du laboratoire"", Université de Nantes (niveau licence)";2
68;Interview in local (Ouest-France) or national (Valeurs actuelles) newspapers;2
69;Les folles souris nantaises (3 déc 2019). Intervenant;2
70;Fête de la science;2
