id_activity;year;id_type_com;id_choice_meeting;titleoral_com_poster;authors;meeting_name;date;location
1;2019;2;1;RefGenSEP, an MS French cohort to reveal new potentials in MS genetic burden;Vince N;IMSGC face to face meeting 2019;September 8-10;Stockholm, Sweden
2;2019;1;1;Easy-HLA web application: new tools for HLA genotypes studies;Boussamet L, Geffard E, Walencik A, Limou S, Gourraud PA, Vince N;JOBIM 2019;July 2-5;Nantes, France
3;2019;1;1;A precision medicine application: personalized contextualization of patients after kidney transplantation;Geffard E, Scherdel P, Limou S, Brouard S, Giral M, Vince N, Gourraud PA;JOBIM 2019;July 2-5;Nantes, France
4;2019;1;1;EasyMatch-R: a web application to facilitate donor query in Hematopoietic Stem Cell Transplantation (HSCT);Geffard E, Walencik A, Limou S, Cesbron A, Vince N, Gourraud PA;JOBIM 2019;July 2-5;Nantes, France
5;2019;2;1;Navigating the treacherous waters of HLA imputation with the SHLARC (SNP-HLA Reference Consortium);Vince N, Douillard V, Limou S, Gourraud PA;EFI 2019;May 8-11;Lisbon, Portugal
6;2019;2;1;The SIRP gene family: widespread conservation in animals, haplotypic polymorphisms in humans and its therapeutic consequences for monoclonal antibody reactivity;Guimon R, Haspot F, Poirier N, Blancho G, Limou S, Gourraud PA, Vince N;EFI 2019;May 8-11;Lisbon, Portugal
7;2019;2;1;HLA eplet in Easy-HLA: prediction and compatibility level assessment available in a complete webtool suite;Geffard E, Boussamet L, Walencik A, Limou S, Vince N, Gourraud PA;EFI 2019;May 8-11;Lisbon, Portugal
8;2019;2;1;Burrowing functional and immunogenetic information through the 1000 Genomes Project with Ferret v3;Ba R, Vince N, Geffard E, Malguid D, Lanza M, Gourraud PA, Limou S;EFI 2019;May 8-11;Lisbon, Portugal
9;2019;2;1;Association study in African-admixed populations across the Americas recapitulates asthma risk loci in non-African populations;Daya M, Rafaels N, Brunetti T, Chavan S, Levin AM, Shetty A, Gignoux CR, Boorgula MP, Wojcik G, Campbell M, Vergara C, Torgerson DG, Ortega VE, Doumatey A, Johnston HR, Acevedo N, Araujo MA, Avila PC, Belbin G, Bleecker E, Bustamante C, Caraballo L, Cruz AA, Dunston GM, Eng C, Faruque MU, Ferguson TS, Figueiredo C, Ford JG, Gan W, Gourraud PA, Hansel N, Hernandez RD, Herrera-Paz EP, Jimenez S, Kenny EE, Knight-Madden J, Kumar R, Lange LE, Lange EM, Lizee A, Maul P, Maul T, Mayorga Sirera AJ, Meyers DA, Nicolae DL, O'Connor TD, Oliveira RR, Olopade CO, Olopade O, Qin ZS, Rotimi C, Vince N, Watson H, Wilks RJ, Wilson JG, Salzberg S, Ober C, Burchard EG, Williams LK, Beaty TH, Taub MA, Ruczinski I, Mathias RA, Barnes KC;AAAAI 2019;February 22-25;San Francisco, CA, USA
10;2018;1;1;SNP-HLA Reference Consortium: partage de données HLA et SNP pour la promotion des études immunogénomiques;Vince N, Douillard V, Geffard E, Limou S, Gourraud PA;GDR science et santé 2018;September 27-28;Nantes, France
11;2018;1;1;Easy-HLA, outils de mise à niveau des génotypes HLA par imputation statistique et computationnelle;Geffard E, Walencik A, Limou S, Vince N, Gourraud PA;GDR science et santé 2018;September 27-28;Nantes, France
12;2018;1;1;Harnessing the power of functional immunogenomics parameters to discover new associations with diseases;Vince N, Geffard E, Douillard V, Limou S, Gourraud PA;NAT 2018;May 31 - June 1;Nantes, France
13;2018;1;1;A precision medicine application: personalized contextualization of patients after solid organ transplantation;Geffard E, Scherdel P, Limou S, Brouard S, Tissot A, COLT investigators, DIVAT investigators, Magnan A, Giral M, Blancho G, Vince N, Gourraud PA;NAT 2018;May 31 - June 1;Nantes, France
14;2018;1;1;EasyMatch-R: a web application to facilitate donor query in Hematopoietic Stem Cell Transplantation (HSCT);Walencik A, Geffard E, Limou S, Cesbron A, Vince N, Gourraud PA;NAT 2018;May 31 - June 1;Nantes, France
15;2018;1;1;New Candidate Genetic Loci Associated with Pediatric Proteinuria in the CKiD Cohort;Limou S, Durand A, Ng D, Vince N, Reidy K, Woroniecki R, Furth S, Warady B, Wong CS, Gourraud PA, Kopp JB, Winkler C, Kaskel FJ;NAT 2018;May 31 - June 1;Nantes, France
16;2018;1;1;Epigenome-wide association study (EWAS) with HIV infection status;Limou S, Hoang K, Garnier A, Nelson G, Vince N, Gourraud PA, Winkler C;NAT 2018;May 31 - June 1;Nantes, France
17;2018;1;1;Ferret, a user-friendly Java tool to extract data from the 1000 Genomes Project;Limou S, Taverner A, Ba R, Vince N, Gourraud PA, Servières M, Winkler C;NAT 2018;May 31 - June 1;Nantes, France
18;2018;2;1;HLA-DRB1 09:01 is associated with a severity asthma outcome in the Consortium on Asthma among African-ancestry Populations in the Americas (CAAPA);Vince N, Limou S, Daya M, Rafaels, N, Hollenbach J, Lizée A, Geffard E, Walencik A, Pino-Yanes M, Salzberg S, Kim D, Watson H, Lange L, Wilson J, Beaty T, Taub M, Ruczinski I, Mathias R, CAAPA, Barnes K, Torgerson D, Gourraud PA;EFI 2018;May 9-12;Venice, Italy
19;2018;2;1;Epigenome-wide association study reveals immunogenetic targets of DNA methylation modification by HIV-1;Hoang K, Nelson G, Binns-Roemer E, Vince N, Gourraud PA, Goedert JJ, Winkler C, Limou S;EFI 2018;May 9-12;Venice, Italy
20;2018;1;1;Epigenome-wide association study (EWAS) with HIV infection status;Hoang K, Nelson G, Vince N, Gourraud PA, Winkler C, Limou S;Assises de génétique humaine et médicale 2018;January 24-26;Nantes, France
