id_activity;title;authors;source;publication_date;pmid;impact_factor;clinic;pdc;colab_inter;colab_intra_crti;id_choice
1;[Learning pathologic anatomy during medicalformation: Understanding the contribution of the motivation];Toquet C, Normand A, Guihard G;Ann Pathol;01/01/18;29843971;0.415;false;true;false;false;1
2;[COLT: Ten years of research in lung transplantation, results andperspectives];"Tissot A, Foureau A, Brosseau C, Danger R, Roux A, Bernasconi E, Gomez C,Durand M, Picard BR, Le Pavec J, Claustre J, Lacoste P, Benmerad M, Pain M,Siroux V, Royer PJ, Mordant P, Reynaud-Gaubert M, Kessler R, Brugière O, MornexJF, Dromer C, Dahan M, Knoop C, Boussaud V, Koutsokera A, Botturi-Cavaillès K,Durand E, Loy J, Nicod L, Pison C, Brouard S, Blanc FX, Magnan A; consortiumCOLT";Rev Mal Respir;01/01/18;30100530;0.545;false;true;true;false;3
3;[Pyelo-ureteral anastomosis, for stenosis of the kidney transplantureter, by laparoscopic approach with robotic assistance];Hedhli O, Karam G, de Vergie S, Nedellec M, Lefevre M, Bouchot O, Rigaud J,Branchereau J;Prog Urol;01/01/18;30217430;0.586;true;true;false;false;1
4;[Renal transplantation on vascular prosthesis];"Nédélec M, Glémain P, Rigaud J, Karam G, Thuret R, Badet L, Kleinclauss F,
Timsit MO, Branchereau J";Prog Urol;01/01/19;31447181;0.586;true;true;false;false;1
5;" [Next generation of anti-immune checkpoints
antibodies].";Bonnefoy N, Olive D, Vanhove B.;M S-MED SCI;01/01/19;31903901;0.661;false;true;false;false;2
6;[Key role of allopeptide-specificCD8(+) Tregs in transplantation];Picarda É, Ossart J, Bézie S, Guillonneau C;M S-MED SCI;01/01/15;25658725;0.661;false;true;false;false;2
7;"[Update in severe asthma
physiopathology and treatments]";Hassoun D, Moui A, Colas L, Blanc FX, Magnan A;Rev Med Interne;01/01/19;31128859;0.81;true;false;false;false;2
8;[Retroperitoneal fibrosis in adults:Main characteristics and relevance of the diagnostic procedures based on aretrospective multicenter study on 77 cases];Lioger B, Yahiaoui Y, Kahn JE, Fakhouri F, Belenfant X, Papo T, Magnant J,Maillot F, Vordos D, Godeau B, Michel M;Rev Med Interne;01/01/16;26415922;0.81;true;false;false;false;1
9;Balancing the genetic risk of APOL1 kidney diseasevariants;Kaboré NF, Limou S;Nephrol Ther;01/01/19;30981400;0.812;false;true;true;false;2
10;[Clinical approach to primary membranoproliferativeglomerulonephritis];Fakhouri F;Nephrol Ther;01/01/16;26972096;0.812;true;true;false;false;3
11;In Vitro and In Vivo Assessment of T, B andMyeloid Cells Suppressive Activity and Humoral Responses from TransplantRecipients;Bézie S, Usal C, Guillonneau C;J VISUAL-JAPAN;01/01/17;28829428;0.879;false;true;false;false;1
12;Differentiation of human dendritic cell subsets forimmune tolerance induction;Deluce-Kakwata-Nkor N, Lamendour L, Chabot V, Héraud A, Ivanovic Z, Halary F,Dehaut F, Velge-Roussel F;Transfus Clin Biol;01/01/18;28967606;1.029;false;false;false;false;1
13;Early and irreversible recurrenceMPO-ANCA-positive glomerulonephritis after renal transplantation;Le Berre L, Dufay A, Cantarovich D, Meurette A, Audrain M, Giral M, BlanchoG, Fakhouri F, Hourmant M, Dantal J;Clin Nephrol;01/01/15;25345380;1.079;false;true;false;true;1
