id_activity;award_date;awardee_name;description
1;01/01/15;;Prize “Don de soi-don de vie” Fondation du rein 
2;01/01/16;;Prix pour les jeunes chercheurs de la Fondation Bettencourt-Shueller
3;01/01/18;;Bourse de la Phillippe Foundation 
4;01/01/18;;Rising Star in Immunology - FOCIS 2018 
5;01/01/19;;Prix Fondation Grand Ouest 
6;01/01/19;;20th laureate prize from Beatrice Denys Foundation 
7;01/01/15;;i-LAB2015, concours national d'aide à la création d'entreprises de technologies  innovantes du ministère de l’Education nationale, de l’Enseignement supérieur et de la Recherche
8;01/01/16;;i-LAB2016, Grand Prix Biotechnologies - Pharma, « Creav-Dev » concours national d'aide à  la création d'entreprises de technologies  innovantes du ministère de l’Education nationale, de  l’Enseignement supérieur et de la Recherche : Goliver - Développement de Solutions Thérapeutiques Cellulaires Innovantes pour le Traitement des Maladies du Foie
9;01/01/16;;STAR WEST - concours des start-up, Région Pays de la Loire 
10;01/01/18;;Prix Coup de Cœur du Public 2018, Forum Atlanpole
11;01/01/19;;Prix French Tech Transfer Invest (FTTI) Start-up contest (BPI, Tech Tour)
12;01/01/17;;Prix Jeune pousse de la transplantation (SFNDT)
13;01/01/18;;Academic Palms
14;01/01/19;;Selected in the  Young Immunologists section, SFI Congress, 12-14/11/19, Nantes, France - Evaluation of the role of CD28H on human NK cells
15;01/01/19;;Young Investigator Award, ESOT Congress, Copenhagen, Danemark, 15-18/09/19
16;01/01/19;;Best Poster Progreffe Award, SFT Congress, Bordeaux, 4-6/12/19
17;01/01/19;;17th IPITA Congress, Lyon 2-5/07/2019 -  Final Pitch Elevator Abstract - Ex situ hypothermic perfusion of non-human primate pancreas: a feasibility study.
18;01/01/18;S. Limou;Best poster - Labex IGO (French)
19;01/01/18;S. Limou;Best oral presentation - EFI annual conference (European)
20;01/01/18;Rokhaya Ba ;Best oral communication - NAT annual meeting (Local)
21;01/01/15;Janina Gergen ;Best poster award resulting in an oral presentation - Inhibition of human cytomegalovirus replication by the Crispr/cas9 system- 6th European congress of Virology Hamburg, Germany- 19-22/10/2015
22;01/01/16;;Medawar Prize of The Transplantation Society
23;01/01/18;Emilie Dugast;Best poster presentation, ECTRIMS
24;01/01/19;Emilie Dugast;Best poster presentation, ARSEP meeting
25;01/01/20;;CNRS Innovation Medal 2020
26;01/01/17;;Award ? Etoiles montantes Région pays de la Loire 
27;01/01/17;;Award ? Bourse de recherche SPILF (Travaux Romain Lamberet : Ro?le des cellules épithéliales dans l'activation des cellules NK au cours d'une infection pulmonaire à Pseudomonas aeruginosa : Impact de l'IL22.
28;01/01/16;;Prix Fondation du Rein
29;01/01/16;;Prix France Transplant
30;01/01/15;;Prix Jeune Chercheur Fondation du Rein
31;01/01/16;;Grand Prix Lymphome 2016, LYSA (Lymphoma Study Association)
32;01/01/15;;Young Investigator Award of the European Society for Organ Transplantation (ESOT)
33;01/01/16;;Basic Science Mentee-Mentor Award de la SFT
34;01/01/20;;Prix Albert Sézary de l'Académie Nationale de Médecine pour ses travaux sur les Tregs CD8+
35;01/01/20;;Prix Jeune Chercheur Fondation Bettencourt Schueller - mobilité à Cambridge, UK
